pdb,junction_bp,junction_stacking
R1149TS489_5,False,False
R1149TS229_4,False,False
R1149TS119_3,True,False
R1149TS119_4,True,False
R1149TS054_5,False,False
R1149TS035_4,True,True
R1149TS385_4,False,False
R1149TS185_5,False,False
R1149TS434_3,True,True
R1149TS091_3,False,False
R1149TS392_5,True,True
R1149TS147_5,True,True
R1149TS235_4,True,True
R1149TS227_4,True,True
R1149TS287_3,True,True
R1149TS128_5,True,True
R1149TSex0_6,True,True
R1149TS227_1,True,True
R1149TS287_4,True,True
R1149TS185_4,False,False
R1149TS470_1,False,False
R1149TS248_4,True,True
R1149TS385_5,False,False
R1149TS119_5,False,False
R1149TSex0_9,True,True
R1149TS392_2,False,False
R1149TS232_1,True,False
R1149TSex0_0,True,True
R1149TS229_1,False,False
R1149TS235_5,True,False
R1149TS054_2,True,True
R1149TS489_4,False,False
R1149TSex0_3,True,True
R1149TS470_2,False,False
R1149TS248_3,True,True
R1149TS235_2,True,True
R1149TS091_4,False,False
R1149TS489_3,False,False
R1149TS131_1,False,False
R1149TS029_2,False,False
R1149TS054_3,True,True
R1149TS128_2,True,True
R1149TS470_4,False,False
R1149TS128_3,True,True
R1149TS489_1,False,False
R1149TS054_4,True,True
R1149TS081_1,True,False
R1149TS287_2,True,False
R1149TS185_3,False,False
R1149TS238_2,False,False
R1149TS035_5,True,True
R1149TS248_2,True,True
R1149TS287_1,False,True
R1149TS232_4,True,True
R1149TS076_3,True,False
R1149TS434_5,True,True
R1149TS434_2,True,True
R1149TS147_1,True,True
R1149TS125_3,True,False
R1149TSex0_2,True,True
R1149TS029_4,False,False
R1149TS091_1,False,False
R1149TS128_1,True,True
R1149TS131_4,False,False
R1149TS091_5,False,False
R1149TS245_3,False,False
R1149TS229_3,False,False
R1149TS392_4,False,False
R1149TS125_5,True,False
R1149TS076_2,True,True
R1149TS147_4,True,True
R1149TS385_3,False,False
R1149TS110_1,False,False
R1149TS076_5,False,True
R1149TSex0_8,True,True
R1149TS416_2,True,False
R1149TS091_2,False,False
R1149TS035_3,True,True
R1149TS185_2,False,False
R1149TS392_1,True,False
R1149TS035_1,True,True
R1149TSex0_5,True,False
R1149TS125_4,False,False
R1149TS385_2,False,False
R1149TS245_2,False,False
R1149TS470_5,False,False
R1149TS227_2,True,False
R1149TS245_1,False,False
R1149TS185_1,False,False
R1149TS076_4,True,False
R1149TS110_4,False,False
R1149TS392_3,False,False
R1149TS434_4,True,True
R1149TS131_2,False,False
R1149TS229_5,False,False
R1149TS081_5,True,False
R1149TS245_5,False,False
R1149TS147_2,True,True
R1149TS229_2,False,False
R1149TS227_3,True,False
R1149TS125_2,True,False
R1149TS434_1,True,True
R1149TS128_4,True,True
R1149TS029_1,False,False
R1149TS081_2,True,False
R1149TS235_3,True,True
R1149TS239_5,False,False
R1149TS097_2,False,False
R1149TS227_5,True,True
R1149TS416_1,False,False
R1149TS081_3,True,False
R1149TS119_2,True,False
R1149TS125_1,True,False
R1149TS239_1,False,False
R1149TS081_4,True,False
R1149TS029_3,False,False
R1149TSex0_7,True,True
R1149TS147_3,True,True
R1149TS076_1,True,False
R1149TS110_2,True,False
R1149TS239_2,False,False
R1149TS110_3,False,False
R1149TS177_1,False,False
R1149TS416_3,True,False
R1149TS131_5,False,False
R1149TS385_1,False,False
R1149TSex0_4,True,True
R1149TS131_3,False,False
R1149TS232_3,True,False
R1149TS097_1,False,False
R1149TS238_1,False,False
R1149TS416_5,True,False
R1149TS232_2,True,False
R1149TS235_1,True,True
R1149TS287_5,True,False
R1149TS119_1,True,False
R1149TS035_2,True,True
R1149TS054_1,True,True
R1149TS470_3,False,False
R1149TS248_5,True,False
R1149TS248_1,True,True
R1149TS245_4,False,False
R1149TS232_5,True,True
R1149TS239_3,False,False
R1149TS489_2,False,False
R1149TS239_4,False,False
R1149TSex0_1,True,True
R1149TS416_4,False,False
